date,description,amount
11/21/2025,DOORDASH,-59.09
11/22/2025,AMZN Mktp,-512.56
11/22/2025,AMAZON,-562.64
11/22/2025,COSTCO,-147.88
11/24/2025,AMAZON,-592.18
11/27/2025,DOORDASH,-32.4
11/29/2025,SHELL,-72.45
11/30/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
12/01/2025,RENT,-2100.0
12/01/2025,AMZN Mktp,-197.54
12/02/2025,PLANET FITNESS,-39.0
12/04/2025,STARBUCKS,-27.02
12/05/2025,BEST BUY,-229.0
12/05/2025,NETFLIX,-15.49
12/05/2025,CHEVRON,-38.62
12/08/2025,SPOTIFY,-11.99
12/10/2025,DOORDASH,-60.35
12/10/2025,PG&E,-82.19
12/12/2025,COMCAST,-79.99
12/15/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
12/15/2025,SAFEWAY,-129.78
12/17/2025,WHOLEFDS,-92.69
12/18/2025,ATT,-65.0
12/21/2025,CHEVRON,-61.63
12/23/2025,COSTCO,-67.26
12/25/2025,CHEVRON,-39.26
12/28/2025,BEST BUY,-71.59
12/29/2025,DOORDASH,-74.8
12/31/2025,PAYROLL DEPOSIT EMPLOYER,3200.0
12/31/2025,TRADER JOES,-90.77
